"chrom","start","end","GeneCount","unlist(genhits)","CHR","BP","P"
"chr4",203501650,203552950,2,"Zm00001d052888;Zm00001d052889","chr4",203505226,4.60551946223031e-16
"chr4",136874450,136927550,1,"Zm00001d051014","chr4",136924709,4.64391204927904e-16
"chr3",206192950,206205050,2,"Zm00001d043661;Zm00001d043662","chr3",206200282,4.7053402609166e-16
"chr1",110408350,110484750,0,"","chr1",110447784,5.29489938958123e-16
"chr1",226330550,226371950,0,"","chr1",226334660,7.17449757647291e-16
"chr3",193881950,193922150,1,"Zm00001d043270","chr3",193918505,7.32911853109716e-16
"chr10",115501250,115519350,2,"Zm00001d025358;Zm00001d025359","chr10",115506091,7.89114258393078e-16
"chr1",13104050,13144550,2,"Zm00001d027766;Zm00001d027767","chr1",13137747,8.08624058692674e-16
"chr3",193697350,193705650,1,"Zm00001d043263","chr3",193698467,8.32683191755855e-16
"chr10",41075150,41077450,1,"Zm00001d024066","chr10",41075863,8.9409030384341e-16
"chr9",110061150,110065550,1,"Zm00001d046910","chr9",110061961,9.17930386244831e-16
"chr1",172789550,172833050,2,"Zm00001d031001;Zm00001d031002","chr1",172831575,9.81704109371606e-16
"chr9",109478550,109491550,2,"Zm00001d046897;Zm00001d046898","chr9",109491463,1.03825212885258e-15
"chr3",115670450,115701750,1,"Zm00001d041392","chr3",115688531,1.47030577698587e-15
"chr4",203405950,203501650,3,"Zm00001d052885;Zm00001d052886;Zm00001d052888","chr4",203406378,1.59701332804171e-15
"chr3",7812750,7814350,1,"Zm00001d039547","chr3",7813166,1.6591732003751e-15
"chr6",57678350,57708650,0,"","chr6",57689848,1.80587300630108e-15
"chr6",53462650,53698150,4,"Zm00001d035823;Zm00001d035824;Zm00001d035825;Zm00001d035826","chr6",53598250,2.3110774003812e-15
"chr3",192798950,192836950,2,"Zm00001d043239;Zm00001d043240","chr3",192835340,2.34645665740636e-15
"chr4",203325950,203372950,1,"Zm00001d052883","chr4",203363602,2.63043482337543e-15
"chr6",53788350,53977250,1,"Zm00001d035829","chr6",53926371,3.99638902428887e-15
"chr3",193987550,194002850,1,"Zm00001d043273","chr3",193987580,5.06614341756042e-15
"chr5",136773950,136806350,1,"Zm00001d015985","chr5",136805812,5.49789444984764e-15
"chr6",20654350,20813550,2,"Zm00001d035312;Zm00001d035313","chr6",20665882,5.98620992436418e-15
"chr4",136927550,137119650,3,"Zm00001d051014;Zm00001d051015;Zm00001d051016","chr4",136932026,6.08519794828703e-15
"chr6",58085250,58229250,1,"Zm00001d035875","chr6",58229097,7.45341646758381e-15
"chr3",183394450,183400250,1,"Zm00001d042901","chr3",183395382,7.46595807153461e-15
"chr1",172971550,173033150,0,"","chr1",172973961,8.21208442301222e-15
"chr1",247480850,247608050,0,"","chr1",247482141,8.40952888046115e-15
"chr6",58270050,58319750,4,"Zm00001d035878;Zm00001d035879;Zm00001d035880;Zm00001d035881","chr6",58283561,9.20907961561134e-15
"chr6",58652150,58738350,5,"Zm00001d035894;Zm00001d035895;Zm00001d035897;Zm00001d035898;Zm00001d035899","chr6",58737423,1.01025333431924e-14
"chr5",104686450,104743150,0,"","chr5",104743146,1.01676069352461e-14
"chr6",150108950,150164450,1,"Zm00001d038165","chr6",150161054,1.03778783194381e-14
"chr6",55344750,55464150,2,"Zm00001d035845;Zm00001d035846","chr6",55460704,1.04755393031329e-14
"chr3",215827050,215833050,1,"Zm00001d043991","chr3",215832783,1.15264326641843e-14
"chr3",194090350,194096550,2,"Zm00001d043274;Zm00001d043275","chr3",194096225,1.17322651173174e-14
"chr2",184109650,184113450,1,"Zm00001d005708","chr2",184113380,1.302553400646e-14
"chr10",124265150,124380850,2,"Zm00001d025623;Zm00001d025624","chr10",124267044,1.35469010947471e-14
"chr6",48939050,49066250,1,"Zm00001d035787","chr6",49029553,1.43788845688796e-14
"chr3",191523050,191574350,0,"","chr3",191574250,1.46635673974094e-14
"chr3",82330750,82410850,2,"Zm00001d040952;Zm00001d040953","chr3",82390916,1.48171873392145e-14
"chr6",52785150,53055950,2,"Zm00001d035818;Zm00001d035819","chr6",52788956,2.38952064541823e-14
"chr1",172455750,172520050,1,"Zm00001d030995","chr1",172457060,2.39846781612132e-14
"chr10",144777450,144782050,1,"Zm00001d026379","chr10",144777712,2.58898886418179e-14
"chr1",15378350,15401750,1,"Zm00001d027856","chr1",15388212,2.59967089174256e-14
"chr3",193967550,193980450,1,"Zm00001d043272","chr3",193968060,2.99295590368133e-14
"chr3",80853150,80875150,1,"Zm00001d040937","chr3",80853180,2.99811004419067e-14
"chr10",87976250,87981650,1,"Zm00001d024784","chr10",87979129,3.00145402565785e-14
"chr1",23436050,23499350,1,"Zm00001d028122","chr1",23443368,3.30253153268368e-14
"chr6",123886450,123945050,1,"Zm00001d037384","chr6",123932158,3.42140844851422e-14
"chr1",173303950,173358650,1,"Zm00001d031011","chr1",173348800,3.46756478835963e-14
"chr2",77942950,78080850,0,"","chr2",78045022,3.55205238805623e-14
"chr1",108585450,108628950,1,"Zm00001d030143","chr1",108595334,4.28329750890926e-14
"chr1",229235550,229277550,2,"Zm00001d032519;Zm00001d032520","chr1",229272511,4.3542027262599e-14
"chr1",172718950,172789550,4,"Zm00001d030998;Zm00001d030999;Zm00001d031000;Zm00001d031001","chr1",172720691,5.0008952881664e-14
"chr3",83693150,83811950,0,"","chr3",83811872,5.32656564019878e-14
"chr6",94239850,94242950,1,"Zm00001d036610","chr6",94241824,5.4020341944233e-14
"chr6",98783850,98843250,2,"Zm00001d036720;Zm00001d036721","chr6",98784437,5.86370076881048e-14
"chr10",87983050,87984450,0,"","chr10",87983811,5.87881292984251e-14
"chr3",198903850,198910250,1,"Zm00001d043402","chr3",198908038,6.44313962508006e-14
"chr1",224650650,224662650,1,"Zm00001d032380","chr1",224653296,6.71948982202529e-14
"chr5",89850250,89924850,1,"Zm00001d015434","chr5",89924781,7.02853174889648e-14
"chr3",191234550,191261350,0,"","chr3",191234604,8.44667825443041e-14
"chr4",43144750,43243350,1,"Zm00001d049756","chr4",43204049,8.54212753543181e-14
"chr4",30665450,30708350,3,"Zm00001d049449;Zm00001d049450;Zm00001d049451","chr4",30666918,8.86035191325227e-14
"chr1",270713650,270848150,1,"Zm00001d033674","chr1",270843979,9.20669652869677e-14
"chr1",173358650,173407550,1,"Zm00001d031013","chr1",173397698,9.28486019896987e-14
"chr8",167524650,167538950,1,"Zm00001d012061","chr8",167527394,9.80096220764309e-14
"chr4",207083650,207131050,2,"Zm00001d052980;Zm00001d052981","chr4",207129719,9.82209954855163e-14
"chr3",193839950,193860250,3,"Zm00001d043267;Zm00001d043268;Zm00001d043269","chr3",193860091,1.0233271190816e-13
"chr3",125263150,125327450,1,"Zm00001d041515","chr3",125325147,1.09970166970026e-13
"chr5",136815850,136861250,1,"Zm00001d015985","chr5",136816547,1.20485681208323e-13
"chr5",110161250,110280550,2,"Zm00001d015709;Zm00001d015711","chr5",110249484,1.25089033638217e-13
"chr1",162956850,163005950,1,"Zm00001d030846","chr1",162960053,1.25264537516001e-13
"chr3",48600050,48603750,2,"Zm00001d040535;Zm00001d040536","chr3",48602873,1.32412858337938e-13
"chr1",247227350,247400050,1,"Zm00001d033020","chr1",247397935,1.37093473212822e-13
"chr4",120689950,120866450,0,"","chr4",120704557,1.40982805954718e-13
"chr3",85363650,85694850,1,"Zm00001d040968","chr3",85372929,1.44786103067646e-13
"chr6",160538650,160558250,3,"Zm00001d038585;Zm00001d038586;Zm00001d038587","chr6",160540368,1.45343420767491e-13
"chr10",41387550,41458850,2,"Zm00001d024070;Zm00001d024071","chr10",41457559,1.4643975541769e-13
"chr1",221485250,221552050,1,"Zm00001d032307","chr1",221500107,1.46913021151858e-13
"chr5",200700750,200713450,1,"Zm00001d017584","chr5",200709753,1.61761344158664e-13
"chr6",47327550,47389950,1,"Zm00001d035773","chr6",47328959,1.63846684033056e-13
"chr1",205734850,205857650,1,"Zm00001d031895","chr1",205857011,1.83148339040399e-13
"chr1",50047750,50157450,3,"Zm00001d028898;Zm00001d028899;Zm00001d028900","chr1",50157300,1.8984064062375e-13
"chr6",48615150,48796250,0,"","chr6",48663767,1.96458263454503e-13
"chr4",137504150,137703750,3,"Zm00001d051029;Zm00001d051030;Zm00001d051031","chr4",137667967,2.01680171056265e-13
"chr1",229171750,229235550,1,"Zm00001d032519","chr1",229233872,2.38118454300948e-13
"chr3",35649050,35653050,1,"Zm00001d040281","chr3",35651324,2.44435082797794e-13
"chr1",70442850,70490850,1,"Zm00001d029437","chr1",70447817,2.45425649032769e-13
"chr2",195578550,195587150,1,"Zm00001d006028","chr2",195580326,2.4669495072539e-13
"chr1",32364550,32366750,1,"Zm00001d028370","chr1",32364745,2.49356899482392e-13
"chr6",123558250,123581650,2,"Zm00001d037376;Zm00001d037377","chr6",123567212,2.58080734006551e-13
"chr3",54922650,54949750,1,"Zm00001d040627","chr3",54949681,2.60800515323639e-13
"chr1",247433650,247480850,4,"Zm00001d033021;Zm00001d033022;Zm00001d033023;Zm00001d033024","chr1",247446914,2.80813445428547e-13
"chr3",54361050,54362450,1,"Zm00001d040621","chr3",54362082,2.88094309532564e-13
"chr1",50428050,50452950,1,"Zm00001d028905","chr1",50443914,3.06243457085041e-13
"chr6",7497650,7520350,3,"Zm00001d035168;Zm00001d035169;Zm00001d035170","chr6",7513807,3.24294952308535e-13
"chr5",200158750,200164450,1,"Zm00001d017575","chr5",200162957,3.37885753075554e-13
"chr10",92899350,93017150,1,"Zm00001d024889","chr10",93011278,3.44085984115736e-13
"chr10",8783450,8788050,1,"Zm00001d023530","chr10",8784704,3.4971651358501e-13
"chr3",115946250,116053950,1,"Zm00001d041395","chr3",116053796,3.58060119858617e-13
"chr3",170900950,170936050,0,"","chr3",170935771,3.90910883944562e-13
"chr4",116347850,116677350,3,"Zm00001d050696;Zm00001d050697;Zm00001d050698","chr4",116658659,4.01137656452484e-13
"chr1",236901550,237017250,6,"Zm00001d032737;Zm00001d032738;Zm00001d032739;Zm00001d032740;Zm00001d032741;Zm00001d032742","chr1",236901832,4.24914923293298e-13
"chr1",8332150,8375550,6,"Zm00001d027576;Zm00001d027577;Zm00001d027578;Zm00001d027580;Zm00001d027581;Zm00001d027582","chr1",8373220,4.3248012605593e-13
"chr1",44876950,44921350,0,"","chr1",44921329,4.3711113443271e-13
"chr3",126066850,126107550,3,"Zm00001d041531;Zm00001d041533;Zm00001d041534","chr3",126107122,4.573623231319e-13
"chr4",137844450,137913550,1,"Zm00001d051033","chr4",137845369,4.62157274179237e-13
"chr4",74774050,74894150,0,"","chr4",74875541,4.75867399453506e-13
"chr3",143840450,143928650,3,"Zm00001d041925;Zm00001d041926;Zm00001d041927","chr3",143851010,4.88393855999878e-13
"chr4",138041950,138122050,0,"","chr4",138044251,5.01945864153952e-13
"chr3",54637250,54789750,2,"Zm00001d040624;Zm00001d040625","chr3",54718196,5.07713655486281e-13
"chr6",46252350,46355850,3,"Zm00001d035763;Zm00001d035764;Zm00001d035765","chr6",46353977,5.37017052241075e-13
"chr10",111413350,111452350,1,"Zm00001d025255","chr10",111446209,5.96462095266731e-13
"chr1",234438350,234475950,2,"Zm00001d032687;Zm00001d032688","chr1",234474963,6.0919997814862e-13
"chr1",236453250,236509850,2,"Zm00001d032730;Zm00001d032732","chr1",236508885,6.13965295230941e-13
"chr10",22873250,22947750,0,"","chr10",22947314,6.33218361320194e-13
"chr10",115166150,115196350,1,"Zm00001d025352","chr10",115195508,6.55856769477981e-13
"chr2",150995950,151127050,1,"Zm00001d004968","chr2",151126968,6.71179462521951e-13
"chr1",173443850,173489150,1,"Zm00001d031014","chr1",173445250,6.79200150269789e-13
"chr1",43894750,43902850,1,"Zm00001d028709","chr1",43901430,7.05258385560753e-13
"chr3",136201350,136242350,1,"Zm00001d041759","chr3",136201827,7.08347474614167e-13
"chr1",71673550,71790150,3,"Zm00001d029457;Zm00001d029458;Zm00001d029459","chr1",71773569,7.28114227229528e-13
"chr3",193802850,193819650,1,"Zm00001d043266","chr3",193804061,7.4724232743801e-13
"chr1",270632650,270713650,0,"","chr1",270704480,7.68498035408407e-13
"chr3",188252550,188260950,1,"Zm00001d043067","chr3",188253423,7.80165006503669e-13
"chr1",16976850,16994350,2,"Zm00001d027895;Zm00001d027896","chr1",16977717,8.16871336578682e-13
"chr10",133709650,133734550,2,"Zm00001d025914;Zm00001d025915","chr10",133733398,8.24611929922627e-13
"chr3",43320350,43326550,1,"Zm00001d040435","chr3",43324279,8.24789501895194e-13
"chr1",173407550,173443850,1,"Zm00001d031014","chr1",173441355,8.29217679975573e-13
"chr10",126096250,126111550,2,"Zm00001d025680;Zm00001d025681","chr10",126109640,8.71470747993521e-13
"chr3",31845550,31846750,1,"Zm00001d040203","chr3",31846548,8.98927693171545e-13
"chr8",167506750,167520250,1,"Zm00001d012061","chr8",167517333,9.03832482182053e-13
"chr4",1053950,1105450,2,"Zm00001d048603;Zm00001d048604","chr4",1056198,9.11599947117006e-13
"chr4",52307450,52454850,1,"Zm00001d049914","chr4",52311388,9.36972735300959e-13
"chr4",169860250,169895850,5,"Zm00001d051788;Zm00001d051789;Zm00001d051790;Zm00001d051791;Zm00001d051792","chr4",169866642,9.44320425842791e-13
"chr1",224081250,224117050,1,"Zm00001d032368","chr1",224114737,9.55960868509336e-13
"chr3",81364650,81520050,1,"Zm00001d040941","chr3",81372779,9.94412532501434e-13
"chr10",8365950,8386950,1,"Zm00001d023514","chr10",8366200,1.01504324991967e-12
"chr3",168086150,168089650,1,"Zm00001d042447","chr3",168087833,1.02525414561434e-12
"chr2",126979550,126993250,1,"Zm00001d004659","chr2",126992333,1.0987388344242e-12
"chr3",176038150,176051750,1,"Zm00001d042667","chr3",176040015,1.14792460341723e-12
"chr4",26632350,26713050,1,"Zm00001d049330","chr4",26655228,1.18310540375562e-12
"chr10",87966250,87972250,0,"","chr10",87970630,1.22018602037056e-12
"chr3",215787050,215806850,0,"","chr3",215790676,1.2610371806211e-12
"chr3",191440250,191446550,1,"Zm00001d043202","chr3",191442023,1.31526325642722e-12
"chr3",53864250,53868650,1,"Zm00001d040612","chr3",53865952,1.36056021284996e-12
"chr6",101577450,101651150,0,"","chr6",101627165,1.48738664287059e-12
"chr10",64645950,64672250,1,"Zm00001d024325","chr10",64670530,1.5219246128616e-12
"chr4",291550,420750,2,"Zm00001d048585;Zm00001d048586","chr4",299706,1.52464158836275e-12
"chr2",9632450,9662650,0,"","chr2",9662516,1.5263631332653e-12
"chr8",126353850,126378950,1,"Zm00001d010736","chr8",126378266,1.5438199065528e-12
"chr1",100455150,100587950,1,"Zm00001d030024","chr1",100455201,1.65493028356931e-12
"chr2",91257350,91310250,0,"","chr2",91306352,1.73016964538325e-12
"chr1",173489150,173661050,1,"Zm00001d031017","chr1",173491751,1.75632395747229e-12
"chr6",58401150,58476250,2,"Zm00001d035886;Zm00001d035887","chr6",58472262,1.99804016048867e-12
"chr1",44729650,44876950,5,"Zm00001d028737;Zm00001d028738;Zm00001d028739;Zm00001d028740;Zm00001d028741","chr1",44730297,2.01904114593184e-12
"chr1",158952250,159027450,5,"Zm00001d030764;Zm00001d030765;Zm00001d030766;Zm00001d030767;Zm00001d030770","chr1",158955506,2.22175087364246e-12
"chr3",193946250,193962150,2,"Zm00001d043271;Zm00001d043272","chr3",193960784,2.22202802163641e-12
"chr3",191575750,191576350,0,"","chr3",191575970,2.24826696119079e-12
"chr4",203594750,203705350,1,"Zm00001d052890","chr4",203698193,2.24922302387146e-12
"chr3",192241550,192252250,2,"Zm00001d043217;Zm00001d043218","chr3",192250534,2.29527092792147e-12
"chr9",110797350,110825050,1,"Zm00001d046921","chr9",110797860,2.3344894934851e-12
"chr5",104616450,104646550,0,"","chr5",104625983,2.43917731967357e-12
"chr10",150300250,150317650,1,"Zm00001d026698","chr10",150316922,2.45103134953336e-12
"chr3",84280850,84443750,0,"","chr3",84443353,2.46813279250188e-12
"chr3",82993350,83272750,2,"Zm00001d040958;Zm00001d040959","chr3",83075005,2.54480877292859e-12
"chr1",68394850,68477450,2,"Zm00001d029380;Zm00001d029383","chr1",68396479,2.82753920803981e-12
"chr1",37266050,37286850,2,"Zm00001d028503;Zm00001d028504","chr1",37286004,2.83035120125588e-12
"chr3",161287950,161292050,1,"Zm00001d042325","chr3",161289871,3.12808319356398e-12
"chr4",236919450,237001550,1,"Zm00001d053622","chr4",236999428,3.40685227176571e-12
"chr2",106623050,106630350,2,"Zm00001d004365;Zm00001d004366","chr2",106630295,3.46166032191463e-12
"chr6",168863150,168904050,1,"Zm00001d039026","chr6",168875687,3.60264152894849e-12
"chr5",209359850,209367350,1,"Zm00001d017876","chr5",209367145,3.72486629739765e-12
"chr8",154491650,154553650,2,"Zm00001d011561;Zm00001d011562","chr8",154553406,3.73005255974013e-12
"chr3",45225850,45273650,1,"Zm00001d040470","chr3",45273125,3.871704723782e-12
"chr10",8285750,8329850,1,"Zm00001d023513","chr10",8286197,3.95881322784772e-12
"chr4",119082550,119348850,1,"Zm00001d050730","chr4",119109461,4.00464145428165e-12
"chr3",177751250,177766950,1,"Zm00001d042709","chr3",177764480,4.01843018983241e-12
"chr3",79354050,79384150,0,"","chr3",79377540,4.08783798445047e-12
"chr10",104008050,104017050,1,"Zm00001d025100","chr10",104012072,4.13611703003335e-12
"chr8",123057550,123094950,1,"Zm00001d010654","chr8",123093426,4.20195878961168e-12
"chr3",136380550,136411650,1,"Zm00001d041762","chr3",136380645,4.27599582963664e-12
"chr1",72489450,72491650,0,"","chr1",72491044,4.28754888454207e-12
"chr3",36027950,36146350,1,"Zm00001d040293","chr3",36028237,4.59735241674798e-12
"chr4",12315950,12331350,1,"Zm00001d049007","chr4",12329496,4.65456945097235e-12
"chr4",68232350,68571550,5,"Zm00001d050134;Zm00001d050136;Zm00001d050137;Zm00001d050138;Zm00001d050139","chr4",68245237,4.66935882260458e-12
"chr8",79164650,79182450,1,"Zm00001d009745","chr8",79178861,4.7403133918871e-12
"chr5",136924550,136931150,1,"Zm00001d015986","chr5",136931040,4.75987183170368e-12
"chr3",235261950,235285050,1,"Zm00001d044702","chr3",235284307,4.81304277118472e-12
"chr5",111274450,111300250,0,"","chr5",111300051,4.86601648554288e-12
"chr3",208866550,208903550,1,"Zm00001d043743","chr3",208866856,4.94501787396274e-12
"chr5",111549750,111647250,0,"","chr5",111562743,5.12188145294295e-12
"chr4",48879550,48976250,1,"Zm00001d049860","chr4",48975705,5.44233314897055e-12
"chr5",109263350,109282050,1,"Zm00001d015703","chr5",109267147,5.58244625592493e-12
"chr4",33123050,33162450,1,"Zm00001d049522","chr4",33135468,6.5397881519169e-12
"chr3",3812950,3818150,2,"Zm00001d039414;Zm00001d039415","chr3",3817293,6.63497937727479e-12
"chr4",202434150,202449850,2,"Zm00001d052845;Zm00001d052847","chr4",202445200,6.65190059245633e-12
"chr6",161277950,161298050,1,"Zm00001d038628","chr6",161293612,6.79946940594139e-12
"chr3",18370450,18374050,1,"Zm00001d039893","chr3",18372766,6.90724935232784e-12
"chr3",102308050,102345250,0,"","chr3",102309278,7.16751763492306e-12
"chr1",239024450,239106550,3,"Zm00001d032811;Zm00001d032812;Zm00001d032813","chr1",239029316,7.26207345534251e-12
"chr3",5052850,5057250,0,"","chr3",5054346,7.31650986847018e-12
"chr4",83773350,83971250,1,"Zm00001d050365","chr4",83774040,7.33463246840304e-12
"chr10",8597950,8644450,2,"Zm00001d023518;Zm00001d023520","chr10",8642575,7.5041145466194e-12
"chr10",150333750,150357850,2,"Zm00001d026700;Zm00001d026701","chr10",150356999,7.60658651971978e-12
"chr10",64014750,64063050,1,"Zm00001d024317","chr10",64015702,7.88252368073437e-12
"chr4",203705350,203757050,0,"","chr4",203716164,7.9906719993508e-12
"chr3",81876750,82059450,0,"","chr3",81880784,8.05371611665246e-12
"chr3",83994250,84162550,0,"","chr3",84120723,8.15646565994225e-12
"chr9",110229450,110296850,1,"Zm00001d046913","chr9",110229521,8.30504684615707e-12
"chr3",187224350,187243750,0,"","chr3",187242944,8.45585915324859e-12
"chr1",105501750,105553450,2,"Zm00001d030096;Zm00001d030098","chr1",105549996,8.7752002774404e-12
"chr5",168881550,168893050,0,"","chr5",168889524,8.88588502870977e-12
"chr6",1306350,1378750,1,"Zm00001d034996","chr6",1307769,8.94739382648179e-12
"chr6",100750050,100782250,1,"Zm00001d036782","chr6",100779913,9.18377965204045e-12
"chr3",153822150,153854350,0,"","chr3",153853938,9.19204486782643e-12
"chr10",5644050,5698350,4,"Zm00001d023442;Zm00001d023443;Zm00001d023444;Zm00001d023445","chr10",5649549,9.66721360766246e-12
"chr4",121045850,121108850,4,"Zm00001d050754;Zm00001d050755;Zm00001d050757;Zm00001d050758","chr4",121061966,9.8764466848598e-12
"chr1",230060450,230129150,2,"Zm00001d032544;Zm00001d032545","chr1",230123081,1.01133064597057e-11
"chr2",19827150,19852450,2,"Zm00001d002706;Zm00001d002707","chr2",19851764,1.02374722099132e-11
"chr6",123198250,123322050,1,"Zm00001d037371","chr6",123321403,1.06352230504585e-11
"chr1",153160150,153246850,1,"Zm00001d030690","chr1",153226908,1.09346788303356e-11
"chr6",30542850,30808650,4,"Zm00001d035514;Zm00001d035515;Zm00001d035516;Zm00001d035519","chr6",30808080,1.12393394911604e-11
"chr3",9085550,9090350,2,"Zm00001d039613;Zm00001d039614","chr3",9088919,1.12981586614917e-11
"chr8",9145750,9156650,1,"Zm00001d008454","chr8",9156074,1.16223591643647e-11
"chr4",116790550,116880350,1,"Zm00001d050705","chr4",116879516,1.2162965881473e-11
"chr1",227392150,227416150,0,"","chr1",227395054,1.22101011636675e-11
"chr4",210332150,210397450,1,"Zm00001d053042","chr4",210354593,1.22827091139309e-11
"chr1",239414850,239463150,1,"Zm00001d032828","chr1",239457312,1.25880714801961e-11
"chr2",206604750,206617250,2,"Zm00001d006402;Zm00001d006403","chr2",206617212,1.26770741528436e-11
"chr6",108080650,108112550,1,"Zm00001d036978","chr6",108109467,1.30581894425112e-11
"chr10",115866650,115886750,1,"Zm00001d025369","chr10",115867508,1.35049694224273e-11
"chr3",14334350,14341950,1,"Zm00001d039769","chr3",14338429,1.37092187967252e-11
"chr3",118102650,118245650,2,"Zm00001d041416;Zm00001d041417","chr3",118104519,1.4795734894664e-11
"chr3",86818050,86855450,0,"","chr3",86854996,1.49232159187632e-11
"chr3",135360650,135372150,1,"Zm00001d041726","chr3",135360906,1.58737797741479e-11
"chr8",114504250,114522950,1,"Zm00001d010425","chr8",114509474,1.63129595936088e-11
"chr1",228751650,228770650,1,"Zm00001d032504","chr1",228760207,1.63909225327741e-11
"chr3",188266250,188274250,1,"Zm00001d043067","chr3",188266834,1.64931933769238e-11
"chr1",50833250,50879950,1,"Zm00001d028912","chr1",50865626,1.65052297208365e-11
"chr1",148109850,148183450,2,"Zm00001d030606;Zm00001d030609","chr1",148163564,1.66157152478667e-11
"chr3",147649950,147701650,1,"Zm00001d042022","chr3",147650733,1.66770668915427e-11
"chr3",162992750,163019150,1,"Zm00001d042355","chr3",162993174,1.66841626295139e-11
"chr4",1496250,1524150,1,"Zm00001d048621","chr4",1520247,1.71238590790132e-11
