"chrom","start","end","GeneCount","unlist(genhits)","CHR","BP","P"
"chr1",235324950,235465150,1,"Zm00001d032704","chr1",235326227,2.40462715516772e-08
"chr1",50835650,50880650,1,"Zm00001d028912","chr1",50865626,2.43054511467985e-08
"chr5",111255150,111323250,0,"","chr5",111323132,2.53824469903429e-08
"chr10",87965750,87972150,0,"","chr10",87970507,2.54475436594004e-08
"chr6",48387850,48492250,1,"Zm00001d035783","chr6",48490263,2.76569438587076e-08
"chr5",104739450,104784850,1,"Zm00001d015669","chr5",104743241,2.86354878756722e-08
"chr6",57860950,57959450,3,"Zm00001d035870;Zm00001d035871;Zm00001d035872","chr6",57910868,2.97657180761377e-08
"chr1",144683650,144770250,0,"","chr1",144697655,3.06304063564586e-08
"chr3",81878550,82050450,0,"","chr3",81880784,3.06484916432227e-08
"chr3",125346950,125424750,0,"","chr3",125349718,3.14784993910099e-08
"chr5",82142050,82360050,4,"Zm00001d015268;Zm00001d015269;Zm00001d015270;Zm00001d015272","chr5",82148578,3.3081985754626e-08
"chr3",82173550,82241850,0,"","chr3",82241758,3.36037871700005e-08
"chr1",158950450,159009150,2,"Zm00001d030764;Zm00001d030765","chr1",158955506,3.40331659226643e-08
"chr3",125424750,125473450,0,"","chr3",125451759,3.4132976460029e-08
"chr3",81097950,81146850,0,"","chr3",81142041,3.42311943430821e-08
"chr1",247403350,247433950,1,"Zm00001d033021","chr1",247429725,3.49243902754146e-08
"chr10",150301350,150317950,1,"Zm00001d026698","chr10",150317783,3.75876207813259e-08
"chr3",97280850,97395850,2,"Zm00001d041098;Zm00001d041099","chr3",97282474,3.93408997027502e-08
"chr6",98778350,98856550,3,"Zm00001d036719;Zm00001d036720;Zm00001d036721","chr6",98784437,3.94528481010457e-08
"chr2",80893950,80970550,1,"Zm00001d004084","chr2",80908491,4.07929529711276e-08
"chr9",110217850,110296450,1,"Zm00001d046913","chr9",110229521,4.20253886338934e-08
"chr10",115540550,115552450,0,"","chr10",115548078,4.47085180310128e-08
"chr5",59970650,60024050,3,"Zm00001d014703;Zm00001d014704;Zm00001d014705","chr5",59972520,4.53433526902753e-08
"chr3",134568650,134648550,1,"Zm00001d041712","chr3",134638732,4.57323165593962e-08
"chr6",58106850,58229850,1,"Zm00001d035875","chr6",58229097,4.60153751594395e-08
"chr3",85290550,85317250,2,"Zm00001d040965;Zm00001d040966","chr3",85294152,4.81946904641153e-08
"chr1",152903650,153026050,4,"Zm00001d030685;Zm00001d030686;Zm00001d030687;Zm00001d030688","chr1",152992146,4.85629889935982e-08
"chr6",49091850,49196850,0,"","chr6",49153004,4.89852263006615e-08
"chr3",144358150,144429850,1,"Zm00001d041935","chr3",144358452,4.95685932710708e-08
"chr2",78311850,78533550,2,"Zm00001d004041;Zm00001d004042","chr2",78533407,5.1736775737991e-08
"chr9",109812850,110050850,4,"Zm00001d046903;Zm00001d046905;Zm00001d046906;Zm00001d046909","chr9",110048042,5.17413631993416e-08
"chr2",77606650,77706450,1,"Zm00001d004036","chr2",77706410,5.37098475205036e-08
"chr1",158466450,158539050,0,"","chr1",158490324,5.39378469470007e-08
"chr1",50445350,50518650,3,"Zm00001d028905;Zm00001d028906;Zm00001d028907","chr1",50453546,5.52873408853134e-08
"chr1",144846750,144874650,2,"Zm00001d030572;Zm00001d030573","chr1",144865254,5.62280633648741e-08
"chr6",53636450,53805650,1,"Zm00001d035829","chr6",53794971,5.70840264705294e-08
"chr8",156797050,156928550,3,"Zm00001d011632;Zm00001d011634;Zm00001d011635","chr8",156914407,5.73596501384935e-08
"chr3",191575350,191581050,1,"Zm00001d043205","chr3",191575970,5.83674743384507e-08
"chr3",84173150,84305650,0,"","chr3",84187147,6.06907262079346e-08
"chr6",49029250,49091850,0,"","chr6",49029553,6.07969585653392e-08
"chr3",81146850,81223150,1,"Zm00001d040939","chr3",81147034,6.11488065675786e-08
"chr1",464050,561150,2,"Zm00001d027256;Zm00001d027257","chr1",560842,6.2941342756923e-08
"chr3",54947750,54970450,1,"Zm00001d040627","chr3",54949681,6.60097215714622e-08
"chr5",172423450,172493550,2,"Zm00001d016684;Zm00001d016686","chr5",172430008,6.6230845572978e-08
"chr4",203261450,203328950,1,"Zm00001d052883","chr4",203328886,6.7626466246002e-08
"chr3",85357150,85625650,1,"Zm00001d040968","chr3",85359480,6.79913723174572e-08
"chr1",50154450,50155750,1,"Zm00001d028899","chr1",50155037,6.88174342200747e-08
"chr4",203499850,203534750,1,"Zm00001d052888","chr4",203505226,6.9007230249469e-08
"chr3",77852550,78047050,1,"Zm00001d040906","chr3",78046408,6.93262880879859e-08
"chr3",5844350,5848350,0,"","chr3",5845032,7.05513562117951e-08
"chr7",157732950,157742950,1,"Zm00001d021598","chr7",157739237,7.32566168469861e-08
"chr5",34959450,34993050,6,"Zm00001d014169;Zm00001d014170;Zm00001d014171;Zm00001d014172;Zm00001d014173;Zm00001d014175","chr5",34991468,7.43847950012801e-08
"chr1",228788450,228917150,2,"Zm00001d032507;Zm00001d032508","chr1",228916637,7.57059785680483e-08
"chr6",161276550,161298850,1,"Zm00001d038628","chr6",161293612,7.74956206899902e-08
"chr3",82394250,82462050,1,"Zm00001d040954","chr3",82453605,7.78512178713663e-08
"chr1",172455250,172514450,1,"Zm00001d030995","chr1",172457060,7.86272814925809e-08
"chr1",149519050,149600450,1,"Zm00001d030624","chr1",149522130,7.89552309571436e-08
"chr3",82462050,82518850,0,"","chr3",82502117,8.13960366452115e-08
"chr5",111776150,111902550,1,"Zm00001d015718","chr5",111778825,8.29122835719235e-08
"chr2",81414650,81415250,1,"Zm00001d004086","chr2",81415178,8.45062139489286e-08
"chr6",7495750,7523450,4,"Zm00001d035168;Zm00001d035169;Zm00001d035170;Zm00001d035171","chr6",7513807,8.52421638449553e-08
"chr5",109612850,109661850,0,"","chr5",109659880,8.8256996056729e-08
"chr3",134552450,134553450,1,"Zm00001d041711","chr3",134552744,8.9261116370119e-08
"chr3",82265250,82312450,0,"","chr3",82270474,9.05742512764721e-08
"chr5",199017850,199055950,0,"","chr5",199055176,9.34765389231683e-08
"chr3",124713050,125028450,3,"Zm00001d041508;Zm00001d041509;Zm00001d041510","chr3",124713052,9.41992042174372e-08
"chr2",10912050,11075150,3,"Zm00001d002365;Zm00001d002366;Zm00001d002367","chr2",10912100,9.82364901889938e-08
"chr5",65191350,65243050,2,"Zm00001d014844;Zm00001d014845","chr5",65193723,9.98110793728583e-08
"chr2",209775750,209796150,3,"Zm00001d006489;Zm00001d006490;Zm00001d006491","chr2",209793304,1.02095541730963e-07
"chr3",209163950,209232050,3,"Zm00001d043759;Zm00001d043760;Zm00001d043762","chr3",209231801,1.03305942621687e-07
"chr5",144949150,145025150,1,"Zm00001d016106","chr5",145025025,1.07147854425436e-07
"chr1",172838150,172962050,4,"Zm00001d031002;Zm00001d031003;Zm00001d031004;Zm00001d031005","chr1",172839045,1.08417865873829e-07
"chr3",188689250,188713950,2,"Zm00001d043083;Zm00001d043084","chr3",188691220,1.09472321611743e-07
"chr6",46887650,46940550,1,"Zm00001d035772","chr6",46918801,1.09951989754124e-07
"chr6",58394550,58476650,2,"Zm00001d035886;Zm00001d035887","chr6",58472262,1.10126697201967e-07
"chr3",187826250,187829350,2,"Zm00001d043059;Zm00001d043060","chr3",187828579,1.12234993540629e-07
"chr3",138448850,138469350,1,"Zm00001d041796","chr3",138468825,1.16452808190974e-07
"chr3",193987550,193994550,1,"Zm00001d043273","chr3",193987580,1.1732642988802e-07
"chr1",23435950,23452050,0,"","chr1",23443368,1.1741443176026e-07
"chr3",14334350,14342850,2,"Zm00001d039769;Zm00001d039770","chr3",14339051,1.17610522860096e-07
"chr3",187271750,187298050,0,"","chr3",187296927,1.181273780947e-07
"chr5",89924050,89935650,1,"Zm00001d015434","chr5",89924781,1.1923701146541e-07
"chr4",203653450,203705950,0,"","chr4",203698193,1.21515199532094e-07
"chr5",136806350,136814750,1,"Zm00001d015985","chr5",136809609,1.22783106819592e-07
"chr6",49196850,49366750,1,"Zm00001d035789","chr6",49362130,1.23312672513798e-07
"chr1",158411350,158435950,0,"","chr1",158434668,1.30952223118745e-07
"chr10",41368750,41458550,2,"Zm00001d024070;Zm00001d024071","chr10",41457559,1.31291822562342e-07
"chr10",87977650,87984550,0,"","chr10",87983811,1.31637224357271e-07
"chr5",199544550,199595250,0,"","chr5",199545011,1.32652814892292e-07
"chr10",94433150,94641350,2,"Zm00001d024909;Zm00001d024910","chr10",94433309,1.33513668439855e-07
"chr7",9811150,9821950,1,"Zm00001d018937","chr7",9819753,1.34486280674255e-07
"chr3",79355250,79384350,0,"","chr3",79377540,1.35950118410999e-07
"chr1",226864650,226933450,4,"Zm00001d032448;Zm00001d032449;Zm00001d032450;Zm00001d032451","chr1",226867090,1.36739923849334e-07
"chr3",87103150,87192750,1,"Zm00001d040975","chr3",87184590,1.38369514197587e-07
"chr8",164697550,164795150,4,"Zm00001d011926;Zm00001d011927;Zm00001d011928;Zm00001d011929","chr8",164791492,1.39432269910399e-07
"chr1",50029150,50153750,2,"Zm00001d028896;Zm00001d028898","chr1",50030957,1.57186337661047e-07
"chr10",8220250,8285750,2,"Zm00001d023512;Zm00001d023513","chr10",8285709,1.59930321975739e-07
"chr10",54950650,54997350,1,"Zm00001d024194","chr10",54997047,1.61475025174186e-07
"chr3",168076450,168090150,3,"Zm00001d042446;Zm00001d042447;Zm00001d042448","chr3",168087833,1.6420998163066e-07
"chr3",83811950,83987350,0,"","chr3",83811965,1.6811594086286e-07
"chr5",104831650,104901450,0,"","chr5",104847924,1.69828543348253e-07
"chr5",136814750,136850250,1,"Zm00001d015985","chr5",136816547,1.73722472017368e-07
"chr8",165296350,165339550,4,"Zm00001d011966;Zm00001d011967;Zm00001d011968;Zm00001d011969","chr8",165309898,1.74992161895466e-07
"chr3",78982050,79160550,0,"","chr3",79160381,1.75340460685149e-07
"chr3",125563250,125792450,3,"Zm00001d041519;Zm00001d041520;Zm00001d041521","chr3",125563291,1.79202923825705e-07
"chr2",91710350,91737550,2,"Zm00001d004209;Zm00001d004210","chr2",91717608,1.82244976411056e-07
"chr3",171712850,171724250,1,"Zm00001d042558","chr3",171713114,1.82896317570171e-07
"chr5",136746850,136806350,1,"Zm00001d015985","chr5",136805812,1.83005143558355e-07
"chr10",150050850,150059550,2,"Zm00001d026690;Zm00001d026691","chr10",150052213,1.84391508459876e-07
"chr2",81415250,81514850,3,"Zm00001d004086;Zm00001d004087;Zm00001d004088","chr2",81415697,1.89042237638842e-07
"chr6",94188950,94225150,1,"Zm00001d036602","chr6",94217202,1.89448930901917e-07
"chr2",81396450,81414650,1,"Zm00001d004086","chr2",81414501,1.93254368884598e-07
"chr3",84443650,84464750,0,"","chr3",84444183,1.93758654008677e-07
"chr6",57444550,57518650,2,"Zm00001d035864;Zm00001d035865","chr6",57506246,2.10383566907305e-07
"chr1",144537650,144615950,2,"Zm00001d030566;Zm00001d030567","chr1",144588697,2.11323304840461e-07
"chr3",156052350,156087850,2,"Zm00001d042205;Zm00001d042207","chr3",156078350,2.2043533607726e-07
"chr9",80521250,80616450,1,"Zm00001d046330","chr9",80615047,2.20798217643151e-07
"chr6",57518650,57596050,0,"","chr6",57544782,2.21968102169263e-07
"chr3",192798150,192827750,1,"Zm00001d043239","chr3",192800359,2.2484468053734e-07
"chr2",118081750,118148650,1,"Zm00001d004560","chr2",118082001,2.33730623977016e-07
"chr3",118102850,118225150,1,"Zm00001d041416","chr3",118104295,2.38585721695954e-07
"chr5",199926250,199955750,1,"Zm00001d017571","chr5",199955118,2.41715009788677e-07
"chr1",173162350,173190050,1,"Zm00001d031009","chr1",173188368,2.44377282297128e-07
"chr3",86818250,86859250,0,"","chr3",86854996,2.51446433428554e-07
"chr10",150325450,150357850,2,"Zm00001d026700;Zm00001d026701","chr10",150356999,2.60486036372183e-07
"chr2",3557950,3563350,1,"Zm00001d001960","chr2",3560183,2.61755903829572e-07
"chr2",23999150,24005350,1,"Zm00001d002828","chr2",24002337,2.62858264179221e-07
"chr2",185601150,185614250,1,"Zm00001d005743","chr2",185613315,2.65094992075524e-07
"chr2",212365250,212411950,1,"Zm00001d006607","chr2",212389394,2.66285234574948e-07
"chr6",119876050,119921050,0,"","chr6",119897197,2.72493195550836e-07
"chr4",121104250,121269850,2,"Zm00001d050757;Zm00001d050758","chr4",121108545,2.74828486834899e-07
"chr8",9146650,9201150,2,"Zm00001d008454;Zm00001d008455","chr8",9156074,2.75191422103505e-07
"chr1",50202650,50208250,1,"Zm00001d028902","chr1",50205243,2.85111934254198e-07
"chr3",79452550,79736350,2,"Zm00001d040924;Zm00001d040925","chr3",79460192,2.88899093538611e-07
"chr5",89375250,89515150,2,"Zm00001d015421;Zm00001d015423","chr5",89377760,2.9014552240357e-07
"chr9",110535650,110609250,0,"","chr9",110607166,3.13009461912657e-07
"chr3",2194150,2197650,1,"Zm00001d039346","chr3",2196483,3.14958512298985e-07
"chr5",62829250,62907250,5,"Zm00001d014775;Zm00001d014778;Zm00001d014779;Zm00001d014780;Zm00001d014781","chr5",62831029,3.37929532269263e-07
"chr3",218392250,218409950,1,"Zm00001d044075","chr3",218394117,3.38797225962161e-07
"chr7",172628750,172630650,1,"Zm00001d022195","chr7",172629498,3.40324660264246e-07
"chr3",197236850,197315150,2,"Zm00001d043346;Zm00001d043347","chr3",197238478,3.4871635220495e-07
"chr10",41246250,41298450,0,"","chr10",41258374,3.49815346557463e-07
"chr2",81024950,81072450,0,"","chr2",81039224,3.51340280067689e-07
"chr1",158355750,158393650,2,"Zm00001d030757;Zm00001d030759","chr1",158392303,3.70381504428722e-07
"chr8",173085650,173239150,10,"Zm00001d012367;Zm00001d012368;Zm00001d012369;Zm00001d012371;Zm00001d012373;Zm00001d012375;Zm00001d012376;Zm00001d012377;Zm00001d012378;Zm00001d012379","chr8",173237594,4.07704132111206e-07
"chr5",217165550,217180650,1,"Zm00001d018237","chr5",217166211,4.15457240368429e-07
"chr5",108260750,108269650,1,"Zm00001d015692","chr5",108268659,4.16127131911542e-07
"chr7",164581050,164639350,3,"Zm00001d021856;Zm00001d021857;Zm00001d021858","chr7",164638872,4.17725367939912e-07
"chr8",156928550,156981150,1,"Zm00001d011636","chr8",156957859,4.26964304838594e-07
"chr7",5084150,5092950,1,"Zm00001d018781","chr7",5085119,4.35358616938479e-07
"chr1",149265850,149404750,1,"Zm00001d030623","chr1",149359382,4.3659237748738e-07
"chr5",104318950,104358350,0,"","chr5",104342802,4.43830127397184e-07
"chr1",52026650,52170050,2,"Zm00001d028935;Zm00001d028936","chr1",52163836,4.46404122296065e-07
"chr1",100637150,100651550,2,"Zm00001d030026;Zm00001d030028","chr1",100651049,4.4708119059066e-07
"chr8",115249650,115331550,2,"Zm00001d010441;Zm00001d010442","chr8",115326020,4.5161182660169e-07
"chr10",8365950,8410150,1,"Zm00001d023514","chr10",8366200,4.52032843502987e-07
"chr3",126119250,126128850,0,"","chr3",126127221,4.67118532233745e-07
"chr5",203303450,203316850,4,"Zm00001d017657;Zm00001d017658;Zm00001d017659;Zm00001d017660","chr5",203307692,4.67731788308174e-07
"chr3",191528150,191574350,0,"","chr3",191574250,4.77031759378767e-07
"chr1",173090650,173138650,1,"Zm00001d031008","chr1",173136784,4.80571262107276e-07
"chr3",83520150,83605950,0,"","chr3",83605682,4.84343287977956e-07
"chr3",188266050,188267250,1,"Zm00001d043067","chr3",188266063,4.98974594509668e-07
"chr5",127354550,127458550,3,"Zm00001d015867;Zm00001d015868;Zm00001d015870","chr5",127360005,5.08398072654214e-07
"chr5",136922450,136923650,1,"Zm00001d015986","chr5",136922514,5.18340797811129e-07
"chr5",49119350,49234050,4,"Zm00001d014467;Zm00001d014468;Zm00001d014469;Zm00001d014470","chr5",49119464,5.24955987846987e-07
"chr6",48802950,48892950,0,"","chr6",48834240,5.31418877822598e-07
"chr2",20732850,20819450,1,"Zm00001d002736","chr2",20733097,5.46112547588555e-07
"chr3",193884550,193921550,1,"Zm00001d043270","chr3",193918505,5.4880996868895e-07
"chr3",84464750,84505450,0,"","chr3",84487476,5.55209685123875e-07
"chr2",127091950,127179150,0,"","chr2",127138724,5.64363213781099e-07
"chr5",108007750,108089950,0,"","chr5",108038769,5.65978174628044e-07
"chr1",51739250,51760150,1,"Zm00001d028926","chr1",51758162,5.77936182449373e-07
"chr2",81223850,81283050,0,"","chr2",81267810,5.88699768387112e-07
"chr6",46096650,46156050,2,"Zm00001d035760;Zm00001d035761","chr6",46130815,6.00029057360678e-07
"chr6",149735750,149920750,2,"Zm00001d038158;Zm00001d038160","chr6",149884130,6.00109486028977e-07
"chr10",59855050,59905750,2,"Zm00001d024256;Zm00001d024257","chr10",59905435,6.0077754335106e-07
"chr8",161421550,161476450,4,"Zm00001d011779;Zm00001d011780;Zm00001d011781;Zm00001d011782","chr8",161466592,6.01130422888713e-07
"chr3",125028450,125068750,1,"Zm00001d041511","chr3",125052565,6.19438935506069e-07
"chr10",87927950,87959750,0,"","chr10",87959347,6.39982393522282e-07
"chr6",48622450,48802950,0,"","chr6",48663767,6.40250329775395e-07
"chr6",30486350,30808650,5,"Zm00001d035512;Zm00001d035514;Zm00001d035515;Zm00001d035516;Zm00001d035519","chr6",30808080,6.50829499584499e-07
"chr3",27973150,28017450,1,"Zm00001d040112","chr3",27973804,6.60814305652389e-07
"chr3",47375950,47422650,2,"Zm00001d040506;Zm00001d040507","chr3",47375967,6.74210648693861e-07
"chr2",48432650,48479550,2,"Zm00001d003571;Zm00001d003572","chr2",48477781,7.33416512134845e-07
"chr10",124235850,124263950,2,"Zm00001d025621;Zm00001d025622","chr10",124263789,7.7153644900268e-07
"chr3",52645550,52695950,1,"Zm00001d040600","chr3",52678443,7.7327777959199e-07
"chr3",191459650,191471850,1,"Zm00001d043204","chr3",191471343,7.7845496203903e-07
"chr5",164454150,164485450,2,"Zm00001d016483;Zm00001d016484","chr5",164456071,8.12404780133642e-07
"chr1",183266450,183310350,1,"Zm00001d031241","chr1",183290720,8.15494343750146e-07
"chr1",67117150,67190550,0,"","chr1",67121166,8.15594390706934e-07
"chr3",188681750,188683150,1,"Zm00001d043081","chr3",188682487,8.15933738108441e-07
"chr7",165576350,165603750,1,"Zm00001d021897","chr7",165576683,8.48368988936607e-07
"chr1",241808750,241875350,0,"","chr1",241841269,8.69200187175912e-07
"chr3",85317250,85357150,1,"Zm00001d040966","chr3",85324784,8.74077961027619e-07
"chr3",106271850,106479950,3,"Zm00001d041222;Zm00001d041225;Zm00001d041226","chr3",106474415,8.74771576374472e-07
"chr3",45723250,45763250,1,"Zm00001d040477","chr3",45761488,8.89348523808442e-07
"chr3",191234950,191262650,0,"","chr3",191235128,8.90070027596716e-07
"chr7",95430150,95439250,1,"Zm00001d020139","chr7",95435845,9.03295019620018e-07
"chr1",45459950,45519350,1,"Zm00001d028751","chr1",45511388,9.17301606939714e-07
"chr2",46120050,46121650,1,"Zm00001d003500","chr2",46120626,9.27387240577641e-07
"chr3",170038650,170054950,0,"","chr3",170038775,9.34665126348618e-07
"chr9",108786850,108796650,1,"Zm00001d046883","chr9",108788016,9.37284577638903e-07
"chr1",100615850,100635350,1,"Zm00001d030026","chr1",100621647,9.56671506736793e-07
"chr3",82570350,82717750,0,"","chr3",82570754,9.95969467176889e-07
"chr5",64620650,64687150,1,"Zm00001d014826","chr5",64620814,1.01475986178895e-06
"chr7",4696050,4768150,5,"Zm00001d018766;Zm00001d018767;Zm00001d018768;Zm00001d018769;Zm00001d018770","chr7",4766806,1.02042717441514e-06
"chr6",47131450,47327550,1,"Zm00001d035773","chr6",47324979,1.02325732060652e-06
"chr3",793750,823450,1,"Zm00001d039265","chr3",821919,1.02511526500486e-06
